time,x,y
1.118,346.529,365.202
1.119,346.535,365.217
1.120,346.541,365.232
1.121,346.547,365.247
1.122,346.552,365.262
1.123,346.558,365.277
1.124,346.564,365.291
1.125,346.570,365.306
1.126,346.576,365.321
1.127,346.582,365.336
1.128,346.588,365.351
1.129,346.593,365.366
1.130,346.599,365.381
1.131,346.605,365.395
1.132,346.611,365.410
1.133,346.617,365.425
1.134,346.623,365.440
1.135,346.628,365.455
1.136,346.634,365.470
1.137,346.640,365.484
1.138,346.646,365.499
1.139,346.652,365.514
1.140,346.658,365.529
1.141,346.663,365.544
1.142,346.669,365.559
1.143,346.675,365.574
1.144,346.681,365.588
1.145,346.687,365.603
1.146,346.693,365.618
1.147,346.698,365.633
1.148,346.704,365.648
1.149,346.710,365.663
1.150,346.716,365.678
1.151,346.722,365.692
1.152,346.728,365.707
1.153,346.734,365.722
1.154,346.739,365.737
1.155,346.745,365.752
1.156,346.751,365.767
1.157,346.757,365.781
1.158,346.763,365.796
1.159,346.769,365.811
1.160,346.774,365.826
1.161,346.780,365.841
1.162,346.786,365.856
1.163,346.792,365.871
