time,imsi,cellId,isServingCell?,RSRP(dBm),RSRQ(dB)
0.296,1,1,1,-60.487,-10.366
0.296,1,2,0,-89.744,-39.623
0.296,1,3,0,-89.744,-39.623
0.296,1,4,0,-56.643,-6.521
0.296,1,5,0,-72.681,-22.560
0.296,1,6,0,-82.766,-32.645
0.296,1,7,0,-57.606,-7.485
0.296,1,8,0,-86.476,-36.355
0.296,1,9,0,-85.169,-35.048
0.296,2,1,1,-60.553,-14.570
0.296,2,2,0,-74.814,-28.831
0.296,2,3,0,-86.171,-40.187
0.296,2,4,0,-79.571,-33.588
0.296,2,5,0,-53.845,-7.862
0.296,2,6,0,-82.326,-36.343
0.296,2,7,0,-51.233,-5.250
0.296,2,8,0,-79.916,-33.933
0.296,2,9,0,-79.455,-33.472
0.301,1,1,1,-60.488,-10.366
0.301,1,2,0,-89.745,-39.623
0.301,1,3,0,-89.745,-39.623
0.301,1,4,0,-56.646,-6.523
0.301,1,5,0,-72.684,-22.561
0.301,1,6,0,-82.769,-32.646
0.301,1,7,0,-57.606,-7.483
0.301,1,8,0,-86.477,-36.355
0.301,1,9,0,-85.177,-35.054
0.301,2,1,1,-60.552,-14.569
0.301,2,2,0,-74.819,-28.836
0.301,2,3,0,-86.171,-40.188
0.301,2,4,0,-79.562,-33.579
0.301,2,5,0,-53.846,-7.863
0.301,2,6,0,-82.325,-36.342
0.301,2,7,0,-51.232,-5.249
0.301,2,8,0,-79.916,-33.933
0.301,2,9,0,-79.454,-33.471
0.306,1,1,1,-60.490,-10.366
0.306,1,2,0,-89.747,-39.622
0.306,1,3,0,-89.747,-39.622
0.306,1,4,0,-56.649,-6.524
0.306,1,5,0,-72.686,-22.562
0.306,1,6,0,-82.772,-32.647
0.306,1,7,0,-57.606,-7.481
0.306,1,8,0,-86.478,-36.354
0.306,1,9,0,-85.184,-35.060
0.306,2,1,1,-60.551,-14.568
0.306,2,2,0,-74.824,-28.841
0.306,2,3,0,-86.172,-40.190
0.306,2,4,0,-79.552,-33.569
0.306,2,5,0,-53.847,-7.864
0.306,2,6,0,-82.324,-36.341
0.306,2,7,0,-51.232,-5.249
0.306,2,8,0,-79.916,-33.933
0.306,2,9,0,-79.452,-33.470
0.311,1,1,1,-60.492,-10.366
0.311,1,2,0,-89.748,-39.622
0.311,1,3,0,-89.748,-39.622
0.311,1,4,0,-56.651,-6.525
0.311,1,5,0,-72.689,-22.563
0.311,1,6,0,-82.775,-32.649
0.311,1,7,0,-57.606,-7.480
0.311,1,8,0,-86.480,-36.354
0.311,1,9,0,-85.192,-35.066
0.311,2,1,1,-60.550,-14.567
0.311,2,2,0,-74.829,-28.847
0.311,2,3,0,-86.173,-40.190
0.311,2,4,0,-79.543,-33.560
0.311,2,5,0,-53.848,-7.865
0.311,2,6,0,-82.323,-36.340
0.311,2,7,0,-51.231,-5.248
0.311,2,8,0,-79.915,-33.933
0.311,2,9,0,-79.451,-33.468
0.316,1,1,1,-60.494,-10.366
0.316,1,2,0,-89.750,-39.622
0.316,1,3,0,-89.750,-39.622
0.316,1,4,0,-56.654,-6.527
0.316,1,5,0,-72.691,-22.564
0.316,1,6,0,-82.777,-32.650
0.316,1,7,0,-57.605,-7.478
0.316,1,8,0,-86.480,-36.353
0.316,1,9,0,-85.199,-35.072
0.316,2,1,1,-60.549,-14.566
0.316,2,2,0,-74.835,-28.852
0.316,2,3,0,-86.174,-40.192
0.316,2,4,0,-79.534,-33.551
0.316,2,5,0,-53.849,-7.866
0.316,2,6,0,-82.322,-36.339
0.316,2,7,0,-51.231,-5.248
0.316,2,8,0,-79.915,-33.932
0.316,2,9,0,-79.450,-33.467
0.321,1,1,1,-60.495,-10.366
0.321,1,2,0,-89.751,-39.622
0.321,1,3,0,-89.751,-39.622
0.321,1,4,0,-56.657,-6.528
0.321,1,5,0,-72.694,-22.565
0.321,1,6,0,-82.780,-32.651
0.321,1,7,0,-57.605,-7.476
0.321,1,8,0,-86.482,-36.352
0.321,1,9,0,-85.207,-35.077
0.321,2,1,1,-60.548,-14.565
0.321,2,2,0,-74.840,-28.857
0.321,2,3,0,-86.175,-40.193
0.321,2,4,0,-79.524,-33.542
0.321,2,5,0,-53.850,-7.867
0.321,2,6,0,-82.321,-36.339
0.321,2,7,0,-51.230,-5.248
0.321,2,8,0,-79.915,-33.932
0.321,2,9,0,-79.449,-33.467
0.326,1,1,1,-60.497,-10.366
0.326,1,2,0,-89.753,-39.622
0.326,1,3,0,-89.753,-39.622
0.326,1,4,0,-56.660,-6.529
0.326,1,5,0,-72.696,-22.565
0.326,1,6,0,-82.783,-32.652
0.326,1,7,0,-57.605,-7.474
0.326,1,8,0,-86.483,-36.352
0.326,1,9,0,-85.214,-35.083
0.326,2,1,1,-60.546,-14.564
0.326,2,2,0,-74.845,-28.863
0.326,2,3,0,-86.176,-40.193
0.326,2,4,0,-79.515,-33.532
0.326,2,5,0,-53.851,-7.868
0.326,2,6,0,-82.320,-36.338
0.326,2,7,0,-51.230,-5.247
0.326,2,8,0,-79.915,-33.932
0.326,2,9,0,-79.448,-33.465
0.331,1,1,1,-60.499,-10.366
0.331,1,2,0,-89.754,-39.622
0.331,1,3,0,-89.754,-39.622
0.331,1,4,0,-56.663,-6.531
0.331,1,5,0,-72.699,-22.566
0.331,1,6,0,-82.786,-32.653
0.331,1,7,0,-57.605,-7.472
0.331,1,8,0,-86.484,-36.351
0.331,1,9,0,-85.222,-35.089
0.331,2,1,1,-60.545,-14.563
0.331,2,2,0,-74.850,-28.868
0.331,2,3,0,-86.177,-40.195
0.331,2,4,0,-79.506,-33.523
0.331,2,5,0,-53.852,-7.869
0.331,2,6,0,-82.319,-36.337
0.331,2,7,0,-51.229,-5.247
0.331,2,8,0,-79.914,-33.932
0.331,2,9,0,-79.447,-33.464
0.336,1,1,0,-60.501,-10.367
0.336,1,2,0,-89.755,-39.621
0.336,1,3,0,-89.755,-39.621
0.336,1,4,0,-56.666,-6.532
0.336,1,5,0,-72.701,-22.567
0.336,1,6,0,-82.789,-32.655
0.336,1,7,1,-57.605,-7.471
0.336,1,8,0,-86.485,-36.351
0.336,1,9,0,-85.229,-35.095
0.336,2,1,0,-60.544,-14.562
0.336,2,2,0,-74.856,-28.873
0.336,2,3,0,-86.178,-40.195
0.336,2,4,0,-79.496,-33.514
0.336,2,5,0,-53.853,-7.870
0.336,2,6,0,-82.318,-36.336
0.336,2,7,1,-51.229,-5.246
0.336,2,8,0,-79.914,-33.932
0.336,2,9,0,-79.446,-33.463
0.341,1,1,0,-60.502,-10.367
0.341,1,2,0,-89.757,-39.621
0.341,1,3,0,-89.757,-39.621
0.341,1,4,0,-56.669,-6.533
0.341,1,5,0,-72.704,-22.568
0.341,1,6,0,-82.792,-32.656
0.341,1,7,1,-57.605,-7.469
0.341,1,8,0,-86.486,-36.350
0.341,1,9,0,-85.237,-35.101
0.341,2,1,0,-60.543,-14.561
0.341,2,2,0,-74.861,-28.878
0.341,2,3,0,-86.179,-40.196
0.341,2,4,0,-79.487,-33.505
0.341,2,5,0,-53.854,-7.871
0.341,2,6,0,-82.317,-36.335
0.341,2,7,1,-51.228,-5.246
0.341,2,8,0,-79.914,-33.932
0.341,2,9,0,-79.445,-33.462
0.346,1,1,0,-60.504,-10.367
0.346,1,2,0,-89.758,-39.621
0.346,1,3,0,-89.758,-39.621
0.346,1,4,0,-56.672,-6.535
0.346,1,5,0,-72.706,-22.569
0.346,1,6,0,-82.795,-32.657
0.346,1,7,1,-57.605,-7.468
0.346,1,8,0,-86.487,-36.350
0.346,1,9,0,-85.244,-35.107
0.346,2,1,0,-60.542,-14.560
0.346,2,2,0,-74.866,-28.883
0.346,2,3,0,-86.180,-40.198
0.346,2,4,0,-79.478,-33.496
0.346,2,5,0,-53.854,-7.872
0.346,2,6,0,-82.316,-36.334
0.346,2,7,1,-51.228,-5.245
0.346,2,8,0,-79.914,-33.931
0.346,2,9,0,-79.444,-33.461
0.351,1,1,0,-60.506,-10.367
0.351,1,2,0,-89.760,-39.621
