time,bytesRx,mac_address
3.517,536,04-07-07:00:00:03:a0:0f:00
3.518,536,04-07-07:00:00:03:a0:0f:00
3.520,536,04-07-07:00:00:03:a0:0f:00
3.521,536,04-07-07:00:00:03:a0:0f:00
3.527,536,04-07-07:00:00:03:a0:0f:00
3.528,536,04-07-07:00:00:03:a0:0f:00
3.535,536,04-07-07:00:00:03:a0:0f:00
3.536,536,04-07-07:00:00:03:a0:0f:00
3.538,536,04-07-07:00:00:03:a0:0f:00
3.539,536,04-07-07:00:00:03:a0:0f:00
3.561,536,04-07-07:00:00:03:a0:0f:00
3.562,536,04-07-07:00:00:03:a0:0f:00
3.564,536,04-07-07:00:00:03:a0:0f:00
3.565,536,04-07-07:00:00:03:a0:0f:00
3.567,536,04-07-07:00:00:03:a0:0f:00
3.568,536,04-07-07:00:00:03:a0:0f:00
3.579,536,04-07-07:00:00:03:a0:0f:00
3.580,536,04-07-07:00:00:03:a0:0f:00
3.582,536,04-07-07:00:00:03:a0:0f:00
3.583,536,04-07-07:00:00:03:a0:0f:00
3.585,536,04-07-07:00:00:03:a0:0f:00
3.605,536,04-07-07:00:00:03:a0:0f:00
3.606,536,04-07-07:00:00:03:a0:0f:00
3.608,536,04-07-07:00:00:03:a0:0f:00
3.609,536,04-07-07:00:00:03:a0:0f:00
3.611,536,04-07-07:00:00:03:a0:0f:00
3.612,536,04-07-07:00:00:03:a0:0f:00
3.623,536,04-07-07:00:00:03:a0:0f:00
3.624,536,04-07-07:00:00:03:a0:0f:00
3.626,536,04-07-07:00:00:03:a0:0f:00
3.627,536,04-07-07:00:00:03:a0:0f:00
3.641,536,04-07-07:00:00:03:a0:0f:00
3.642,536,04-07-07:00:00:03:a0:0f:00
3.644,536,04-07-07:00:00:03:a0:0f:00
3.645,536,04-07-07:00:00:03:a0:0f:00
3.647,536,04-07-07:00:00:03:a0:0f:00
3.648,536,04-07-07:00:00:03:a0:0f:00
3.659,536,04-07-07:00:00:03:a0:0f:00
3.660,536,04-07-07:00:00:03:a0:0f:00
3.662,536,04-07-07:00:00:03:a0:0f:00
3.663,536,04-07-07:00:00:03:a0:0f:00
3.677,536,04-07-07:00:00:03:a0:0f:00
3.678,536,04-07-07:00:00:03:a0:0f:00
3.680,536,04-07-07:00:00:03:a0:0f:00
3.681,536,04-07-07:00:00:03:a0:0f:00
3.683,536,04-07-07:00:00:03:a0:0f:00
3.684,536,04-07-07:00:00:03:a0:0f:00
3.685,536,04-07-07:00:00:03:a0:0f:00
3.695,536,04-07-07:00:00:03:a0:0f:00
3.696,536,04-07-07:00:00:03:a0:0f:00
3.698,536,04-07-07:00:00:03:a0:0f:00
3.699,536,04-07-07:00:00:03:a0:0f:00
3.713,536,04-07-07:00:00:03:a0:0f:00
3.714,536,04-07-07:00:00:03:a0:0f:00
3.716,536,04-07-07:00:00:03:a0:0f:00
3.717,536,04-07-07:00:00:03:a0:0f:00
3.719,536,04-07-07:00:00:03:a0:0f:00
3.720,536,04-07-07:00:00:03:a0:0f:00
3.723,536,04-07-07:00:00:03:a0:0f:00
3.724,536,04-07-07:00:00:03:a0:0f:00
3.739,536,04-07-07:00:00:03:a0:0f:00
3.740,536,04-07-07:00:00:03:a0:0f:00
3.742,536,04-07-07:00:00:03:a0:0f:00
3.743,536,04-07-07:00:00:03:a0:0f:00
3.757,536,04-07-07:00:00:03:a0:0f:00
3.758,536,04-07-07:00:00:03:a0:0f:00
3.760,536,04-07-07:00:00:03:a0:0f:00
3.761,536,04-07-07:00:00:03:a0:0f:00
3.763,536,04-07-07:00:00:03:a0:0f:00
3.764,536,04-07-07:00:00:03:a0:0f:00
3.765,536,04-07-07:00:00:03:a0:0f:00
3.767,536,04-07-07:00:00:03:a0:0f:00
3.768,536,04-07-07:00:00:03:a0:0f:00
3.783,536,04-07-07:00:00:03:a0:0f:00
3.784,536,04-07-07:00:00:03:a0:0f:00
3.786,536,04-07-07:00:00:03:a0:0f:00
3.787,536,04-07-07:00:00:03:a0:0f:00
3.801,536,04-07-07:00:00:03:a0:0f:00
3.802,536,04-07-07:00:00:03:a0:0f:00
3.804,536,04-07-07:00:00:03:a0:0f:00
3.805,536,04-07-07:00:00:03:a0:0f:00
3.807,536,04-07-07:00:00:03:a0:0f:00
3.808,536,04-07-07:00:00:03:a0:0f:00
3.809,536,04-07-07:00:00:03:a0:0f:00
3.811,536,04-07-07:00:00:03:a0:0f:00
3.819,536,04-07-07:00:00:03:a0:0f:00
3.820,536,04-07-07:00:00:03:a0:0f:00
3.822,536,04-07-07:00:00:03:a0:0f:00
3.823,536,04-07-07:00:00:03:a0:0f:00
3.837,536,04-07-07:00:00:03:a0:0f:00
3.838,536,04-07-07:00:00:03:a0:0f:00
3.840,536,04-07-07:00:00:03:a0:0f:00
3.841,536,04-07-07:00:00:03:a0:0f:00
3.843,536,04-07-07:00:00:03:a0:0f:00
3.844,536,04-07-07:00:00:03:a0:0f:00
3.847,536,04-07-07:00:00:03:a0:0f:00
3.848,536,04-07-07:00:00:03:a0:0f:00
3.855,536,04-07-07:00:00:03:a0:0f:00
3.856,536,04-07-07:00:00:03:a0:0f:00
3.858,536,04-07-07:00:00:03:a0:0f:00
3.859,536,04-07-07:00:00:03:a0:0f:00
3.861,536,04-07-07:00:00:03:a0:0f:00
3.873,536,04-07-07:00:00:03:a0:0f:00
3.874,536,04-07-07:00:00:03:a0:0f:00
3.876,536,04-07-07:00:00:03:a0:0f:00
3.877,536,04-07-07:00:00:03:a0:0f:00
3.879,536,04-07-07:00:00:03:a0:0f:00
3.880,536,04-07-07:00:00:03:a0:0f:00
3.883,536,04-07-07:00:00:03:a0:0f:00
3.884,536,04-07-07:00:00:03:a0:0f:00
3.891,536,04-07-07:00:00:03:a0:0f:00
3.892,536,04-07-07:00:00:03:a0:0f:00
3.899,536,04-07-07:00:00:03:a0:0f:00
3.900,536,04-07-07:00:00:03:a0:0f:00
3.902,536,04-07-07:00:00:03:a0:0f:00
3.903,536,04-07-07:00:00:03:a0:0f:00
3.917,536,04-07-07:00:00:03:a0:0f:00
